datetime_ET,date,time_et,currency,event,impact
2023-01-04T10:00,2023-01-04,10:00,USD,ISM Manufacturing PMI,high
2023-01-04T14:00,2023-01-04,14:00,USD,FOMC Meeting Minutes,high
2023-01-06T08:30,2023-01-06,08:30,USD,Average Hourly Earnings m/m,high
2023-01-06T08:30,2023-01-06,08:30,USD,Non-Farm Employment Change,high
2023-01-06T08:30,2023-01-06,08:30,USD,Unemployment Rate,high
2023-01-06T10:00,2023-01-06,10:00,USD,ISM Services PMI,high
2023-01-12T08:30,2023-01-12,08:30,USD,Core CPI m/m,high
2023-01-12T08:30,2023-01-12,08:30,USD,CPI m/m,high
2023-01-12T08:30,2023-01-12,08:30,USD,CPI y/y,high
2023-01-18T08:30,2023-01-18,08:30,USD,Core Retail Sales m/m,high
2023-01-18T08:30,2023-01-18,08:30,USD,Retail Sales m/m,high
2023-01-26T08:30,2023-01-26,08:30,USD,Advance GDP q/q,high
2023-01-27T08:30,2023-01-27,08:30,USD,Core PCE Price Index m/m,high
2023-02-01T10:00,2023-02-01,10:00,USD,ISM Manufacturing PMI,high
2023-02-01T14:00,2023-02-01,14:00,USD,Federal Funds Rate,high
2023-02-01T14:00,2023-02-01,14:00,USD,FOMC Statement,high
2023-02-01T14:30,2023-02-01,14:30,USD,FOMC Press Conference,high
2023-02-03T08:30,2023-02-03,08:30,USD,Average Hourly Earnings m/m,high
2023-02-03T08:30,2023-02-03,08:30,USD,Non-Farm Employment Change,high
2023-02-03T08:30,2023-02-03,08:30,USD,Unemployment Rate,high
2023-02-03T10:00,2023-02-03,10:00,USD,ISM Services PMI,high
2023-02-14T08:30,2023-02-14,08:30,USD,Core CPI m/m,high
2023-02-14T08:30,2023-02-14,08:30,USD,CPI m/m,high
2023-02-14T08:30,2023-02-14,08:30,USD,CPI y/y,high
2023-02-15T08:30,2023-02-15,08:30,USD,Core Retail Sales m/m,high
2023-02-15T08:30,2023-02-15,08:30,USD,Retail Sales m/m,high
2023-02-22T14:00,2023-02-22,14:00,USD,FOMC Meeting Minutes,high
2023-02-24T08:30,2023-02-24,08:30,USD,Core PCE Price Index m/m,high
2023-03-01T10:00,2023-03-01,10:00,USD,ISM Manufacturing PMI,high
2023-03-03T10:00,2023-03-03,10:00,USD,ISM Services PMI,high
2023-03-07T10:00,2023-03-07,10:00,USD,Fed Chair Powell Testifies,high
2023-03-08T10:00,2023-03-08,10:00,USD,Fed Chair Powell Testifies,high
2023-03-10T08:30,2023-03-10,08:30,USD,Average Hourly Earnings m/m,high
2023-03-10T08:30,2023-03-10,08:30,USD,Non-Farm Employment Change,high
2023-03-10T08:30,2023-03-10,08:30,USD,Unemployment Rate,high
2023-03-14T08:30,2023-03-14,08:30,USD,Core CPI m/m,high
2023-03-14T08:30,2023-03-14,08:30,USD,CPI m/m,high
2023-03-14T08:30,2023-03-14,08:30,USD,CPI y/y,high
2023-03-15T08:30,2023-03-15,08:30,USD,Core Retail Sales m/m,high
2023-03-15T08:30,2023-03-15,08:30,USD,Retail Sales m/m,high
2023-03-22T14:00,2023-03-22,14:00,USD,Federal Funds Rate,high
2023-03-22T14:00,2023-03-22,14:00,USD,FOMC Economic Projections,high
2023-03-22T14:00,2023-03-22,14:00,USD,FOMC Statement,high
2023-03-22T14:30,2023-03-22,14:30,USD,FOMC Press Conference,high
2023-03-31T08:30,2023-03-31,08:30,USD,Core PCE Price Index m/m,high
2023-04-03T10:00,2023-04-03,10:00,USD,ISM Manufacturing PMI,high
2023-04-05T10:00,2023-04-05,10:00,USD,ISM Services PMI,high
2023-04-07T08:30,2023-04-07,08:30,USD,Average Hourly Earnings m/m,high
2023-04-07T08:30,2023-04-07,08:30,USD,Non-Farm Employment Change,high
2023-04-07T08:30,2023-04-07,08:30,USD,Unemployment Rate,high
2023-04-12T08:30,2023-04-12,08:30,USD,Core CPI m/m,high
2023-04-12T08:30,2023-04-12,08:30,USD,CPI m/m,high
2023-04-12T08:30,2023-04-12,08:30,USD,CPI y/y,high
2023-04-12T14:00,2023-04-12,14:00,USD,FOMC Meeting Minutes,high
2023-04-14T08:30,2023-04-14,08:30,USD,Core Retail Sales m/m,high
2023-04-14T08:30,2023-04-14,08:30,USD,Retail Sales m/m,high
2023-04-27T08:30,2023-04-27,08:30,USD,Advance GDP q/q,high
2023-04-28T08:30,2023-04-28,08:30,USD,Core PCE Price Index m/m,high
2023-05-01T10:00,2023-05-01,10:00,USD,ISM Manufacturing PMI,high
2023-05-03T10:00,2023-05-03,10:00,USD,ISM Services PMI,high
2023-05-03T14:00,2023-05-03,14:00,USD,Federal Funds Rate,high
2023-05-03T14:00,2023-05-03,14:00,USD,FOMC Statement,high
2023-05-03T14:30,2023-05-03,14:30,USD,FOMC Press Conference,high
2023-05-05T08:30,2023-05-05,08:30,USD,Average Hourly Earnings m/m,high
2023-05-05T08:30,2023-05-05,08:30,USD,Non-Farm Employment Change,high
2023-05-05T08:30,2023-05-05,08:30,USD,Unemployment Rate,high
2023-05-10T08:30,2023-05-10,08:30,USD,Core CPI m/m,high
2023-05-10T08:30,2023-05-10,08:30,USD,CPI m/m,high
2023-05-10T08:30,2023-05-10,08:30,USD,CPI y/y,high
2023-05-16T08:30,2023-05-16,08:30,USD,Core Retail Sales m/m,high
2023-05-16T08:30,2023-05-16,08:30,USD,Retail Sales m/m,high
2023-05-24T14:00,2023-05-24,14:00,USD,FOMC Meeting Minutes,high
2023-05-26T08:30,2023-05-26,08:30,USD,Core PCE Price Index m/m,high
2023-06-01T10:00,2023-06-01,10:00,USD,ISM Manufacturing PMI,high
2023-06-02T08:30,2023-06-02,08:30,USD,Average Hourly Earnings m/m,high
2023-06-02T08:30,2023-06-02,08:30,USD,Non-Farm Employment Change,high
2023-06-02T08:30,2023-06-02,08:30,USD,Unemployment Rate,high
2023-06-05T10:00,2023-06-05,10:00,USD,ISM Services PMI,high
2023-06-13T08:30,2023-06-13,08:30,USD,Core CPI m/m,high
2023-06-13T08:30,2023-06-13,08:30,USD,CPI m/m,high
2023-06-13T08:30,2023-06-13,08:30,USD,CPI y/y,high
2023-06-14T14:00,2023-06-14,14:00,USD,Federal Funds Rate,high
2023-06-14T14:00,2023-06-14,14:00,USD,FOMC Economic Projections,high
2023-06-14T14:00,2023-06-14,14:00,USD,FOMC Statement,high
2023-06-14T14:30,2023-06-14,14:30,USD,FOMC Press Conference,high
2023-06-15T08:30,2023-06-15,08:30,USD,Core Retail Sales m/m,high
2023-06-15T08:30,2023-06-15,08:30,USD,Retail Sales m/m,high
2023-06-21T10:00,2023-06-21,10:00,USD,Fed Chair Powell Testifies,high
2023-06-22T10:00,2023-06-22,10:00,USD,Fed Chair Powell Testifies,high
2023-06-30T08:30,2023-06-30,08:30,USD,Core PCE Price Index m/m,high
2023-07-03T10:00,2023-07-03,10:00,USD,ISM Manufacturing PMI,high
2023-07-05T14:00,2023-07-05,14:00,USD,FOMC Meeting Minutes,high
