dateStart,side,entryPrice,avgClosePrice,initalSL
2026-01-02 16:33:00,buy,20915.34083529,20900.99187092891,20885.34083529
2026-01-02 17:55:00,sell,20902.64013558784,20865.821742409593,20932.64013558784
2026-01-03 14:42:00,buy,20910.290425898096,20898.34285785256,20880.290425898096
2026-01-03 16:44:00,sell,20903.468707558917,20920.99165849568,20933.468707558917
2026-01-03 19:39:00,buy,20917.27324301493,20901.347199221087,20887.27324301493
2026-01-03 19:54:00,buy,20913.478530275275,20923.165850270227,20883.478530275275
2026-01-03 20:15:00,sell,20912.588590823474,20916.539315312344,20942.588590823474
2026-01-04 15:06:00,sell,20914.95402549513,20906.95068689981,20944.95402549513
2026-01-04 17:50:00,sell,20915.42914956119,20905.147932325293,20945.42914956119
2026-01-04 19:05:00,buy,20921.83489733185,20900.20961778087,20891.83489733185
2026-01-05 15:31:00,buy,20899.702883847534,20899.2241023353,20869.702883847534
2026-01-05 16:11:00,sell,20909.31913239055,20847.567222428883,20939.31913239055
2026-01-05 17:13:00,buy,20898.197605748534,20909.69630087782,20868.197605748534
2026-01-05 17:53:00,sell,20905.353684705588,20915.857480506067,20935.353684705588
2026-01-05 17:57:00,buy,20905.761710046347,20890.045275959306,20875.761710046347
2026-01-07 15:30:00,buy,20811.34849546941,20826.205620759232,20781.34849546941
2026-01-07 15:50:00,buy,20807.348848193393,20831.269037802016,20777.348848193393
2026-01-07 15:56:00,buy,20808.761165848104,20798.914707043685,20778.761165848104
2026-01-07 16:38:00,buy,20804.94763511037,20828.47290993448,20774.94763511037
2026-01-07 18:23:00,buy,20814.969469077932,20833.185349174888,20784.969469077932
2026-01-07 19:30:00,buy,20837.457124383243,20816.50779207853,20807.457124383243
2026-01-08 21:00:00,sell,20831.06750212343,20810.10203595349,20861.06750212343
2026-01-09 16:48:00,buy,20879.28674098554,20884.66849660505,20849.28674098554
2026-01-09 18:29:00,buy,20883.956237572034,20872.55542045698,20853.956237572034
2026-01-09 19:34:00,sell,20886.652373337423,20874.38388070278,20916.652373337423
2026-01-10 15:05:00,sell,20860.185653668545,20888.54238688023,20890.185653668545
2026-01-10 19:54:00,buy,20856.968848076063,20827.10714855379,20826.968848076063
2026-01-10 20:59:00,sell,20859.36591463234,20833.249757465066,20889.36591463234
2026-01-11 18:40:00,sell,20867.217114297393,20867.544228410658,20897.217114297393
2026-01-12 16:50:00,sell,20862.938360513697,20890.23811821037,20892.938360513697
2026-01-12 16:55:00,sell,20863.737410176567,20870.864817801208,20893.737410176567
2026-01-12 17:29:00,sell,20864.232940570255,20892.524653815013,20894.232940570255
2026-01-13 17:32:00,sell,20892.281204965046,20867.69232138126,20922.281204965046
2026-01-14 16:07:00,buy,20905.0624575758,20925.684938025017,20875.0624575758
2026-01-15 14:49:00,sell,20870.520399398814,20842.97553446646,20900.520399398814
2026-01-15 15:20:00,sell,20868.12882842568,20861.342169093343,20898.12882842568
2026-01-15 16:00:00,sell,20867.015646451975,20863.8581467481,20897.015646451975
2026-01-15 16:51:00,sell,20867.69192960448,20840.99708176853,20897.69192960448
