entry_ts,side,entry_price,exit_price,exit_ts,stop_price,r_multiple,tags,dir,points,dollars,R,trading_date,entry_time,prev_poc,prev_val,prev_vah,prev_high,prev_low,prev_session,day_open,midnight_open
2026-01-03 09:42:00-05:00,buy,20910.290425898096,20898.34285785256,,20880.290425898096,,,1.0,-11.947568045536173,-238.95136091072345,-0.39825226818453907,2026-01-03,09:42:00,20913.5,20892.75,20949.5,21002.15677402383,20892.686425202355,2026-01-02,20910.35831478018,20901.157880314888
2026-01-03 11:44:00-05:00,sell,20903.46870755892,20920.99165849568,,20933.46870755892,,,-1.0,-17.522950936760026,-350.4590187352005,-0.5840983645586675,2026-01-03,11:44:00,20913.5,20892.75,20949.5,21002.15677402383,20892.686425202355,2026-01-02,20910.35831478018,20901.157880314888
2026-01-03 14:39:00-05:00,buy,20917.27324301493,20901.347199221087,,20887.27324301493,,,1.0,-15.926043793842837,-318.52087587685673,-0.5308681264614279,2026-01-03,14:39:00,20913.5,20892.75,20949.5,21002.15677402383,20892.686425202355,2026-01-02,20910.35831478018,20901.157880314888
2026-01-03 14:54:00-05:00,buy,20913.478530275275,20923.165850270227,,20883.478530275275,,,1.0,9.687319994951395,193.7463998990279,0.3229106664983798,2026-01-03,14:54:00,20913.5,20892.75,20949.5,21002.15677402383,20892.686425202355,2026-01-02,20910.35831478018,20901.157880314888
2026-01-03 15:15:00-05:00,sell,20912.588590823478,20916.539315312344,,20942.588590823478,,,-1.0,-3.950724488866399,-79.01448977732798,-0.13169081629554663,2026-01-03,15:15:00,20913.5,20892.75,20949.5,21002.15677402383,20892.686425202355,2026-01-02,20910.35831478018,20901.157880314888
2026-01-04 10:06:00-05:00,sell,20914.95402549513,20906.95068689981,,20944.95402549513,,,-1.0,8.003338595321111,160.06677190642222,0.26677795317737035,2026-01-04,10:06:00,20912.25,20902.75,20917.25,20936.756367987145,20888.42632713369,2026-01-03,20925.565695053912,20895.495444326323
2026-01-04 12:50:00-05:00,sell,20915.42914956119,20905.147932325293,,20945.42914956119,,,-1.0,10.281217235897202,205.62434471794404,0.3427072411965734,2026-01-04,12:50:00,20912.25,20902.75,20917.25,20936.756367987145,20888.42632713369,2026-01-03,20925.565695053912,20895.495444326323
2026-01-04 14:05:00-05:00,buy,20921.83489733185,20900.20961778087,,20891.83489733185,,,1.0,-21.62527955097903,-432.5055910195806,-0.7208426516993011,2026-01-04,14:05:00,20912.25,20902.75,20917.25,20936.756367987145,20888.42632713369,2026-01-03,20925.565695053912,20895.495444326323
2026-01-05 10:31:00-05:00,buy,20899.70288384753,20899.2241023353,,20869.70288384753,,,1.0,-0.478781512229034,-9.57563024458068,-0.015959383740967798,2026-01-05,10:31:00,20914.25,20908.25,20929.25,20944.42361691852,20890.47550887247,2026-01-04,20920.324589825068,20910.198653630272
2026-01-05 11:11:00-05:00,sell,20909.31913239055,20847.567222428883,,20939.31913239055,,,-1.0,61.75190996166566,1235.0381992333132,2.0583969987221886,2026-01-05,11:11:00,20914.25,20908.25,20929.25,20944.42361691852,20890.47550887247,2026-01-04,20920.324589825068,20910.198653630272
2026-01-05 12:13:00-05:00,buy,20898.197605748534,20909.69630087782,,20868.197605748534,,,1.0,11.498695129284897,229.97390258569794,0.3832898376428299,2026-01-05,12:13:00,20914.25,20908.25,20929.25,20944.42361691852,20890.47550887247,2026-01-04,20920.324589825068,20910.198653630272
2026-01-05 12:53:00-05:00,sell,20905.353684705588,20915.857480506067,,20935.353684705588,,,-1.0,-10.503795800479566,-210.0759160095913,-0.3501265266826522,2026-01-05,12:53:00,20914.25,20908.25,20929.25,20944.42361691852,20890.47550887247,2026-01-04,20920.324589825068,20910.198653630272
