schema_version,agent_version,date,regime,directional_bias,permitted_structures,stand_down,size_multiplier,confidence,rationale,cited_evidence,playbook_notes
1.0,a4b241cca843,2026-02-02,event_risk,neutral,[],True,0.0,medium,"Retrieval says no-trade: majority_action=FLAT with best_action_counts.FLAT=9 of 15, and BOTH books' cohort means are negative (mean_pl_if_rotation=-150, mean_pl_if_momentum=-169) with share_both_books_red=0.53. This FLAT-majority cohort is the stand-down signal, not the calendar. red_folder_today=1 (ISM 10:00) is a size/timing modifier only and never justifies flat by itself, but here the analog cohort does. No war evidence (directional_streak_days=0, net_10d_pts=0, streak_imbal=0); no fresh shock (shock_bars.count=0). Nothing overrides the FLAT majority.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=9', 'analog_block.mean_pl_if_rotation=-150', 'analog_block.mean_pl_if_momentum=-169', 'analog_block.share_both_books_red=0.53', 'regime_vector.red_folder_today=1', 'trailing_stats.directional_streak_days=0', 'shock_bars.count=0']","2026-02-02 fresh-eyes, no inherited notes. Decision anchored to analog majority per v0.6.1: majority_action=FLAT (9/15) with both book means red (rot -150, mom -169) and share_both_books_red=0.53 -> stand down (0.0). This is a FLAT-cohort no-trade, NOT a 0.25 'unsure' day; do not blur those. red_folder_today=1 (ISM Manufacturing PMI, high, 10:00 ET) is per v0.6.0 a timing/size modifier only and NEVER an automatic stand-down; the engine holds entries past the release. Standing down here is justified ONLY because the analog cohort is FLAT-majority with both books negative expectancy, evidence BEYOND the calendar. Tape context: gap_open_pts=-152.5 and overnight range 465.5 (wide), but no directional structure (streak_imbal=0, net_10d_pts=0, directional_streak_days=0), no shock bars (count=0), trap_rate_10=0.5 and imbal_share 0.5 all mid. If a future similar day shows majority_action flip to a book with clearly positive mean, arm that book (0.5/1.0); reserve 0.25 for a thin/split BOOK cohort. Never let the morning narrative override the realized cohort book."
1.0,a4b241cca843,2026-02-03,war,long,"['reversion', 'continuation']",False,0.25,low,"Analog majority=MOMENTUM (counts MOM6/FLAT5/ROT4): arm momentum per retrieval, not the label. Edge is thin though - mean_pl_if_momentum=+14 vs rotation=-118, cohort split - so 0.25 reduced-arm, not full. Tape is directional/continuation: overnight gap +108.5 aligns with net +105.25 and prior net_5d=+343.25 -> long bias, war-type. Gap not fading, so continuation stays permitted despite trap_rate_10=0.5; reversion also kept (no structure-specific exclusion). share_both_books_red=0.27 low -> no flat signal.","['analog_block.majority_action=MOMENTUM', 'analog_block.best_action_counts=FLAT5/MOMENTUM6/ROTATION4', 'analog_block.mean_pl_if_momentum=14', 'analog_block.mean_pl_if_rotation=-118', 'analog_block.share_both_books_red=0.27', 'overnight.gap_vs_prior_close_pts=108.5', 'trailing_stats.net_5d_pts=343.25', 'regime_vector.trap_rate_10=0.5']","Fresh start (no inherited notes). Anchored to analog retrieval per v0.6.1: majority_action=MOMENTUM decides the book, overriding any tape/label guess. Armed momentum, long, because overnight gap (+108.5) and net (+105.25) continue prior day's +343.25 push - directional/war tape. Sized 0.25 (reduced-arm) not 0.5+ because momentum's mean edge is barely positive (+14) and the cohort is split 6/5/4 - a weak BOOK signal, not a conviction day. Did NOT stand down: majority is a book not FLAT, share_both_books_red=0.27 is well below the ~0.6 flat threshold, and no event today (red_folder_today=0; ISM was 02-02, today=false). Kept both structures: gap is continuation (gap and net same sign, no gap-and-fade), so no evidence to exclude continuation; trap_rate_10=0.5 elevated so reversion stays viable too. Next time: if a similar directional-gap day recurs but the momentum mean turns clearly positive with a one-sided cohort, size up to 0.5/1.0; if the cohort flips to FLAT-majority or share_both_books_red rises toward 0.6, stand down instead."
1.0,a4b241cca843,2026-02-04,event_risk,neutral,['reversion'],False,0.5,medium,"Analog cohort picks the book: majority_action=ROTATION (8/15), mean_pl_if_rotation=+109 vs momentum -10, share_both_books_red=.33 -- arm ROTATION, no narrative override. Not a FLAT cohort, so no stand-down. Size held to 0.5: NFP+ISM Services today (red_folder_today=2) is a size/timing modifier, engine holds entries past release. Continuation excluded -- trap_rate_10=.5 with whipsaw trailing (+343 then -455) and gap-down open favor reversion.","['analog_block.majority_action=ROTATION', 'analog_block.best_action_counts.ROTATION=8', 'analog_block.mean_pl_if_rotation=109', 'analog_block.mean_pl_if_momentum=-10', 'analog_block.share_both_books_red=0.33', 'regime_vector.red_folder_today=2', 'regime_vector.trap_rate_10=0.5', 'trailing_sessions.net_pts=+343.25_then_-455.25']","Fresh-eyes day, no inherited notes. Rule anchored to analog retrieval: majority_action is the book, not the morning's story. Today ROTATION-majority (8/15) with +109 mean and only .33 both-red -> armed rotation at half size, not full: an NFP 08:15 + ISM Services 10:00 morning (2 red folders) carries residual event uncertainty and the cohort is a plurality not a landslide, so 0.5. Event risk treated as size/timing only per v0.6 -- never an auto stand-down; the engine holds entries until after the release. Reserved 0.0 for FLAT-majority cohorts only; this was not one (FLAT=5 < ROTATION=8, share_both_books_red=.33). Excluded continuation because trap_rate_10=.5 with a gap-down open and whipsaw trailing sessions (+343.25 then -455.25, both ~800pt ranges) is structure-specific evidence against trend-taking; reversion permitted, bias neutral. Revisit the book if a future similar day flips to momentum-majority or shows a fresh outsized overnight shock beyond the 02-02 09:30 bar. Note ISM Services 10:00 can re-accelerate the tape after the NFP print."
1.0,a4b241cca843,2026-02-05,balance,neutral,[],True,0.0,medium,"Analog cohort is the deciding signal: majority_action=FLAT with best_action_counts FLAT=10 of 15 (ROTATION 5, MOMENTUM 0), and BOTH books lose on average (mean_pl_if_rotation=-94, mean_pl_if_momentum=-267) with share_both_books_red=0.53. Per the FLAT-majority rule this is the retrieval no-trade signal — stand down, not a 0.25 'just in case'. No event override: red_folder_today=0 and only medium-impact claims/JOLTS today. Tape is two-sided/balanced (day_type=balanced, streak_imbal=0), so no war continuation edge to arm against the FLAT cohort.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=10', 'analog_block.best_action_counts.MOMENTUM=0', 'analog_block.mean_pl_if_rotation=-94', 'analog_block.mean_pl_if_momentum=-267', 'analog_block.share_both_books_red=0.53', 'regime_vector.red_folder_today=0', 'regime_vector.streak_imbal=0']","Fresh-eyes day, no inherited notes. Decision driven by analog_block: 15 analogs, majority_action=FLAT (10 FLAT/5 ROTATION/0 MOMENTUM), both books negative in mean, share_both_books_red=0.53 -> stand down per v0.6.1 anchor (FLAT cohort = 0.0, never a 0.25). Note tension: overnight gap -322.75 and net_5d/10d=-383.25 with price pct_off_window_low=0.04 (pinned near window low) reads mildly war-ish, but streak_imbal=0, directional_streak_days=2, day_type=balanced and imbal_share_20=0.5 do NOT confirm a persistent one-way regime, and MOMENTUM won 0 of 15 analogs — so no basis to override the FLAT majority toward a momentum arm. Calendar today is medium-only (Unemployment Claims 08:30, JOLTS 10:00), red_folder_today=0; calendar alone is never a stand-down and here it is not the reason. Shock_bars count=26 (largest 136.5 at prior 16:02) reflects a volatile prior session, reinforcing caution but not a fresh outsized overnight shock that would flip the read. Carry forward: when majority_action==FLAT and both mean_pl books are red, stand down regardless of a bearish gap narrative; the cohort's realized book beats the morning story."
1.0,a4b241cca843,2026-02-06,war,neutral,[],True,0.0,medium,"Analog cohort is FLAT-majority (best_action_counts.FLAT=7 of 15; majority_action=FLAT) - the retrieval no-trade signal, so I stand down per v0.6.1. Tape is a 3-day one-way decline (net_5d_pts=-1019.75, streak=3) pinned near the window low (pct_off_window_low=1.535) = war risk, but overnight prints a large counter-trend up-gap (+356.75) - a conflicted setup the FLAT cohort confirms untradeable. red_folder_today=0; UoM is only medium, not a driver.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=7', 'analog_block.share_both_books_red=0.47', 'trailing_stats.net_5d_pts=-1019.75', 'trailing_stats.directional_streak_days=3', 'trailing_stats.pct_off_window_low=1.535', 'overnight.gap_vs_prior_close_pts=356.75', 'regime_vector.red_folder_today=0']","[fresh-eyes, no inherited notes] 2026-02-06 Fri: stood down on the FLAT analog majority (7/15), NOT on the calendar. Rule applied: majority_action==FLAT => 0.0 (v0.6.1 anchor), which overrides any war/trap read from the tape. Context to carry: today paired a strong 3-day downtrend (net_5d_pts=-1019.75, price near window low) with a big counter-trend overnight up-gap (+356.75) and high range_pctl_20 (0.8) - the classic 'both books can lose' conflict, and the cohort's share_both_books_red=0.47 with a FLAT plurality backs standing aside. mean_pl_if_rotation=94 > mean_pl_if_momentum=14, so IF forced to arm, rotation was the marginally better book - but a FLAT majority is a stand-down, not a 0.25 'just in case' (the v0.6 leak). Watch: a counter-trend gap into an established downtrend often mean-reverts (trap-like); if future analogs of this exact shape start leaning ROTATION rather than FLAT, revisit the stand-down. No red folder today; UoM Consumer Sentiment 10:00 ET is medium impact only and is a timing/size modifier, never a stand-down reason on its own."
1.0,a4b241cca843,2026-02-09,balance,neutral,[],True,0.0,medium,"Analog majority_action=FLAT (FLAT count 6) with BOTH cohort book-means negative (rotation -26, momentum -7): the retrieval no-trade signal, and a FLAT cohort is a stand-down not a 0.25. Tape corroborates no directional regime - day_type balanced, directional_streak_days=1, imbal_share_20=0.45, mixed trailing nets - and red_folder_today=0, no event today. share_both_books_red=0.4 adds no reinforcement, but FLAT-majority alone mandates 0.0.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=6', 'analog_block.mean_pl_if_rotation=-26', 'analog_block.mean_pl_if_momentum=-7', 'regime_vector.day_type=balanced', 'trailing_stats.directional_streak_days=1', 'regime_vector.red_folder_today=0', 'analog_block.share_both_books_red=0.4']","Fresh-eyes start (no inherited notes). 2026-02-09 Mon: stood down. Driver was analog retrieval, not tape - cohort (k=15) majority FLAT, both book-means red (rot -26, mom -7), so no armable edge despite a benign balanced tape. Rule per v0.6.1: FLAT-majority cohort => 0.0, never a 0.25 'just in case'; 0.25 is reserved for a positive-but-thin BOOK majority. No event today (red_folder 0; UoM was 02-06). Trailing week two-sided (nets +343/-455/-271/-636/+691), streak 1, net_5d -328 - rotational, not war/trap. Watch: if a future analog block flips majority to ROTATION or MOMENTUM with a positive mean, arm that book at 0.5+; the tape here would tempt a reversion trade (balance = reversion home field) but the cohort said both books lose - trust retrieval over the label."
1.0,a4b241cca843,2026-02-10,balance,neutral,[],True,0.0,medium,"Analog cohort (k=15) resolves FLAT: majority_action=FLAT, FLAT=9 vs MOMENTUM=4/ROTATION=2, and both books lose on average (rotation=-176, momentum=-47). Per v0.6.1 a FLAT-majority cohort is the retrieval no-trade signal -> stand down (0.0), not 0.25. Tape is two-sided, not war (day_type=balanced, streak_imbal=0, net_10d=-120), so no continuation edge. Core Retail Sales (red_folder_today=1) is only a size/timing modifier; the stand-down rests on the FLAT cohort, independent of the calendar.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=9', 'analog_block.mean_pl_if_rotation=-176', 'analog_block.mean_pl_if_momentum=-47', 'analog_block.share_both_books_red=0.53', 'regime_vector.day_type=balanced', 'regime_vector.streak_imbal=0', 'regime_vector.red_folder_today=1']","No inherited notes (fresh-eyes brief). Rule applied: a FLAT-majority analog cohort = stand down (0.0) per the v0.6.1 anchor; do NOT downgrade a FLAT cohort to 0.25 'just in case' -- 0.25 is only for a weak BOOK majority. 2026-02-10: k=15, majority FLAT (9/4/2), both mean P&Ls negative, share_both_books_red=0.53 -> flat. Event handling worked as designed: a lone high-impact print (Core Retail Sales) was NOT treated as a stand-down trigger; the flat call came from the retrieval cohort, not the calendar. Regime read = balance (day_type=balanced, streak_imbal=0, mid-window, mixed trailing nets), so no war/continuation bias despite net_5d=-463, which is modest against ~750-980pt daily ranges. Forward: if a future day shows a BOOK majority with clearly positive mean_pl, arm that book (0.5/1.0 by one-sidedness); reserve 0.0 for FLAT cohorts and share_both_books_red>=0.6, and 0.25 for a thin/split book majority."
1.0,a4b241cca843,2026-02-11,event_risk,neutral,['continuation'],False,0.5,medium,"Analog majority=MOMENTUM (counts 6/5/4), mean_pl_if_momentum=+204 vs rotation -12 -> arm momentum/continuation per retrieval, not the tape. NFP today (red_folder_today=1) is a size/timing modifier; engine holds to post-release, not a stand-down. share_both_books_red=0.27<0.6 and no FLAT majority -> trade. Split cohort (6 vs 5) plus event uncertainty cap size at 0.5. Bias neutral: directional_streak_days=1 and choppy trailing nets give no clean trend; the release sets direction.","['analog_block.majority_action=MOMENTUM', 'analog_block.best_action_counts=FLAT4/MOMENTUM6/ROTATION5', 'analog_block.mean_pl_if_momentum=204', 'analog_block.mean_pl_if_rotation=-12', 'analog_block.share_both_books_red=0.27', 'regime_vector.red_folder_today=1', 'calendar.Non-Farm Employment Change.today=true', 'trailing_stats.directional_streak_days=1']","Fresh start (no inherited notes). 2026-02-11 NFP day. Method anchor: the analog majority_action picks the book -- here MOMENTUM (6/5/4), mean_pl_if_momentum +204 vs rotation -12, so continuation is armed rather than the choppy tape's story. Event days (NFP) are size/timing modifiers only; the engine holds entries to post-release, so never stand down on the calendar label alone -- require a FLAT-majority cohort or share_both_books_red>0.6 (here 0.27; neither present). Sized 0.5 not 1.0 because the cohort is split (momentum only 6 of 15, rotation 5) and NFP adds residual uncertainty; reserve 1.0 for a one-sided cohort. Bias left neutral: trailing sessions are two-sided (net_5d -114, net_10d -226, streak 1), so the release sets direction rather than a pre-open trend. Next time: if a similar cohort tightens toward momentum or the mean_pl gap widens, step to 1.0; if the majority flips to FLAT or both-books-red climbs above ~0.6, stand down."
1.0,a4b241cca843,2026-02-12,balance,neutral,[],True,0.0,medium,"Analog majority_action=FLAT (best_action_counts FLAT6/MOM5/ROT4) is the retrieval no-trade signal, and BOTH cohort book means are negative (mean_pl_if_rotation=-52, mean_pl_if_momentum=-70), so there is no book worth arming. Tape corroborates a non-trend day: directional_streak_days=1, net_5d=177 vs net_10d=-206 (mixed), red_folder_today=0 (only a medium Claims print today). Per v0.6.1 a FLAT cohort is a stand-down, not a 0.25 'just in case' — no positive book edge exists to reduced-arm.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts=FLAT:6,MOMENTUM:5,ROTATION:4', 'analog_block.mean_pl_if_rotation=-52', 'analog_block.mean_pl_if_momentum=-70', 'trailing_stats.directional_streak_days=1', 'trailing_stats.net_5d_pts=177.0', 'trailing_stats.net_10d_pts=-206.25', 'regime_vector.red_folder_today=0']","Fresh-eyes day, no inherited notes. Decision driven by analog_block: majority_action=FLAT with a FLAT plurality (6/5/4) and both realized-book cohort means negative -> stand down (0.0), never a reduced-arm, since 0.25 requires a positive BOOK edge. share_both_books_red only 0.27, so the flat call rests on majority_action + negative means, not on the both-red reinforcement. Regime read: balance, not war/event. War evidence absent: directional_streak_days=1, streak_imbal=1, net_5d(+177) and net_10d(-206) disagree in sign, price mid-window (pct_off_window_high=2.58, low=4.61). Event pressure minimal: red_folder_today=0; only a medium Unemployment Claims print today (08:30 ET), high-impact Retail Sales/NFP were prior days. trap_rate_10=0.3 and range_pctl_20=0.75 note but not decisive. Shock_bars count 45 with largest on 02-06 is stale context, not a fresh pre-open shock. Carry forward: when majority_action==FLAT and both mean_pl_if_<book> are negative, that is a stand-down regardless of the morning narrative; only override with a specific fresh feature the cohort lacks, which is not present here."
1.0,a4b241cca843,2026-02-13,event_risk,neutral,['reversion'],False,0.25,medium,"Analog majority_action=ROTATION (7/15 vs FLAT 5, MOMENTUM 3); mean_pl_if_rotation=-5 clearly beats mean_pl_if_momentum=-229 — retrieval arms rotation and rejects continuation. But rotation mean is only breakeven and cohort split, so thin BOOK edge -> 0.25 reduced-arm, not size-up. share_both_books_red=0.33 (<0.6), so not a stand-down. CPI today (red_folder_today=1)=event_risk, but that is a timing/size modifier; engine holds past the 08:30 release and no non-calendar evidence says the day is untradeable. directional_streak_days=1: no trend, neutral bias.","['analog_block.majority_action=ROTATION', 'analog_block.best_action_counts=ROTATION7/FLAT5/MOMENTUM3', 'analog_block.mean_pl_if_rotation=-5', 'analog_block.mean_pl_if_momentum=-229', 'analog_block.share_both_books_red=0.33', 'regime_vector.red_folder_today=1', 'calendar.CPI.today=true', 'trailing_stats.directional_streak_days=1']","Fresh-start notes (no inheritance). 2026-02-13 Fri, CPI 08:30 event day. Book selection driven by analog_block per v0.6.1: majority_action=ROTATION and momentum cohort clearly red (-229) vs rotation breakeven (-5) -> arm ROTATION/reversion and exclude continuation on the momentum-loss evidence. Sized 0.25 (reduced-arm) because rotation mean is only breakeven and cohort is split (ROT7/FLAT5/MOM3) — a thin BOOK edge, not a size-up, and not a stand-down. Did NOT stand down: majority is a book, not FLAT, and share_both_books_red=0.33 is below the 0.6 flat trigger; a CPI label alone is never a stand-down (event days are the desk's biggest missed winners, engine holds entries past release). Watch: if rotation mean turned negative or FLAT became majority, flip to stand-down; if the rotation cohort turned clearly positive, size up to 0.5. Overnight gap -126.5, net -146.75 down but directional_streak_days=1 (no persistent trend) -> neutral, no war. 46 shock bars are stale (largest 02-09 09:30), not a fresh outsized overnight shock, so no override of the retrieval."
